dimensions,width,height
"(1280, 1707)",1280,1707
"(276, 183)",276,183
"(275, 183)",275,183
"(181, 279)",181,279
"(612, 408)",612,408
"(375, 250)",375,250
"(1200, 675)",1200,675
"(195, 259)",195,259
"(440, 600)",440,600
"(480, 378)",480,378
"(225, 225)",225,225
"(183, 275)",183,275
"(300, 168)",300,168
"(1280, 720)",1280,720
"(225, 225)",225,225
"(612, 376)",612,376
"(194, 259)",194,259
"(276, 183)",276,183
"(225, 225)",225,225
"(283, 178)",283,178
"(300, 168)",300,168
"(300, 168)",300,168
"(265, 190)",265,190
"(274, 184)",274,184
"(197, 256)",197,256
"(318, 159)",318,159
"(800, 1200)",800,1200
"(225, 225)",225,225
"(3000, 2000)",3000,2000
"(236, 417)",236,417
"(400, 600)",400,600
"(275, 183)",275,183
"(300, 168)",300,168
"(800, 477)",800,477
"(850, 995)",850,995
"(225, 225)",225,225
"(238, 212)",238,212
"(253, 199)",253,199
"(275, 183)",275,183
"(510, 340)",510,340
"(183, 275)",183,275
"(274, 184)",274,184
"(500, 500)",500,500
"(275, 183)",275,183
"(225, 225)",225,225
"(600, 600)",600,600
"(1024, 1024)",1024,1024
"(201, 251)",201,251
"(1500, 996)",1500,996
"(208, 242)",208,242
"(600, 600)",600,600
"(225, 225)",225,225
"(600, 399)",600,399
"(225, 225)",225,225
"(225, 225)",225,225
"(225, 225)",225,225
"(265, 190)",265,190
"(259, 194)",259,194
"(1024, 683)",1024,683
"(208, 242)",208,242
"(1000, 1500)",1000,1500
"(612, 573)",612,573
"(275, 183)",275,183
"(500, 350)",500,350
"(276, 183)",276,183
"(275, 183)",275,183
"(534, 600)",534,600
"(271, 186)",271,186
"(273, 184)",273,184
"(299, 168)",299,168
"(1400, 933)",1400,933
"(1600, 1200)",1600,1200
"(528, 612)",528,612
"(230, 219)",230,219
"(1920, 1920)",1920,1920
"(300, 168)",300,168
"(295, 171)",295,171
"(275, 184)",275,184
"(265, 190)",265,190
"(300, 168)",300,168
"(1500, 1000)",1500,1000
"(265, 190)",265,190
"(354, 300)",354,300
"(612, 347)",612,347
"(2048, 1367)",2048,1367
"(299, 168)",299,168
"(289, 174)",289,174
"(500, 500)",500,500
"(237, 213)",237,213
"(675, 506)",675,506
"(1244, 1930)",1244,1930
"(456, 280)",456,280
"(259, 194)",259,194
"(183, 275)",183,275
"(1920, 1440)",1920,1440
"(225, 225)",225,225
"(626, 900)",626,900
"(600, 600)",600,600
"(1000, 1333)",1000,1333
"(189, 267)",189,267
"(194, 259)",194,259
"(379, 454)",379,454
"(259, 194)",259,194
"(1023, 949)",1023,949
"(194, 259)",194,259
"(275, 183)",275,183
"(259, 194)",259,194
"(225, 225)",225,225
"(268, 188)",268,188
"(274, 184)",274,184
"(183, 275)",183,275
"(600, 400)",600,400
"(232, 217)",232,217
"(251, 201)",251,201
"(259, 194)",259,194
"(1500, 996)",1500,996
"(237, 213)",237,213
"(510, 340)",510,340
"(275, 183)",275,183
"(259, 195)",259,195
"(194, 260)",194,260
"(480, 360)",480,360
"(450, 450)",450,450
"(215, 235)",215,235
"(1000, 667)",1000,667
"(910, 615)",910,615
"(2000, 2000)",2000,2000
"(650, 400)",650,400
"(1000, 667)",1000,667
"(287, 176)",287,176
"(480, 480)",480,480
"(612, 459)",612,459
"(224, 225)",224,225
"(275, 183)",275,183
"(1076, 340)",1076,340
"(500, 500)",500,500
"(298, 169)",298,169
"(225, 225)",225,225
